#  ID	"RA	"	DEC	MAG_F160W	MAGERR_F160W	FWHM	STELLARITY	ELLIPTICITY	THETA	Z_BPZ	ZMIN_BPZ	ZMAX_BPZ	ODDS_BPZ	CHISQ2_BPZ	STAR	WEIGHT	NRS_F110W	NRS_F140X	NRS_CLEAR	REFERENCE
514	53.17530756	-27.81989068	22.46	0.039	2.9	0.91	0.103	47.1	5.581	5.3	5.85	0.996	6.324	1	300	22.741	-99	22.46	TRUE
2639	53.17797177	-27.80327718	99	29.183	3.48	0.81	0.022	82.7	5.66	0.78	6.07	0.794	0.953	0	300	29.631	-99	99	TRUE
7894	53.16615975	-27.76428237	29.284	0.202	6.95	0.81	0.203	-50.6	6.45	5.75	6.98	0.887	1.047	0	300	29.126	28.984	29.284	TRUE
3352	53.15236091	-27.79958882	29.388	0.275	6.6	0.74	0.213	-76.9	5.6	0.52	6.25	0.585	0.309	0	300	29.536	29.97	29.388	TRUE
10101	53.18123196	-27.78147671	28.977	0.323	5.29	0.74	0.188	-0.2	5.59	0.58	6.11	0.71	0.497	0	300	28.965	29.15	28.977	TRUE
4166	53.16562375	-27.79587255	28.733	0.136	9.86	0.73	0.118	-76.4	6.743	6.22	7.26	0.926	0.649	0	300	28.904	28.826	28.733	TRUE
6093	53.15093966	-27.79386221	30.681	0.576	3.26	0.73	0.286	76.4	5.63	0.64	6.28	0.698	0.363	0	300	30.137	30.707	30.681	TRUE
7740	53.16000591	-27.76349436	29.364	0.218	8.99	0.73	0.045	-69.3	6.29	5.73	6.69	0.936	0.332	0	300	28.9	29.142	29.364	TRUE
9976	53.14403028	-27.78036021	29.263	0.206	7.82	0.73	0.265	-19.4	6.74	0.94	7.71	0.526	0.677	0	300	29.557	29.012	29.263	TRUE
3740	53.16054039	-27.79774121	29.213	0.228	6.21	0.71	0.267	-87.6	7.23	6.58	7.79	0.899	0.363	0	300	29.187	28.92	29.213	TRUE
10586	53.1390074	-27.78953776	29.582	0.268	9.7	0.71	0.311	-24.1	6.04	5.3	6.56	0.883	1.103	0	300	29.489	29.477	29.582	TRUE
615	53.15839939	-27.81899646	24.087	0.06	2.84	0.7	0.025	86	5.651	5.36	5.93	0.996	5.969	1	300	24.614	-99	24.087	TRUE
8694	53.17044959	-27.77458204	29.424	0.38	5.34	0.7	0.291	75.2	5.73	0.59	6.31	0.66	0.099	0	300	29.433	29.738	29.424	TRUE
2032	53.14225186	-27.80676448	29.2	0.636	9.56	0.69	0.231	-10.6	5.686	5.3	6.22	0.934	1.395	0	300	28.266	-99	29.2	TRUE
6456	53.16153898	-27.78625609	29.181	0.189	10.11	0.69	0.041	81.4	6.528	6.1	6.95	0.965	0.189	0	300	28.868	29.163	29.181	TRUE
7919	53.16679656	-27.76437467	29.013	0.289	7.18	0.68	0.286	11.9	6.42	0.7	6.86	0.617	0.796	0	300	28.712	28.911	29.013	TRUE
4567	53.12870239	-27.78690427	99	28.452	4.67	0.67	0.289	62.8	5.66	5	6.16	0.898	2.113	0	300	27.561	-99	99	TRUE
7988	53.16384488	-27.76478608	28.148	0.277	4.5	0.66	0.102	-86.7	5.89	0.84	6.54	0.724	0.377	0	300	27.844	28.092	28.148	TRUE
